time,lat,lon,station,sea_surface_temp,salinity
2023-02-01,21.3918,92.0383,ST-COXB,28.12,32.29
2023-02-01,22.399,91.7498,ST-CTG,28.1,32.31
2023-02-01,21.9112,89.1354,ST-SDB,27.97,32.35
2023-02-01,22.4553,90.8091,ST-MGE,28.34,32.79
2023-02-01,21.9651,90.2172,ST-KHP,28.46,33.7
2023-03-01,21.3815,91.9739,ST-COXB,28.34,32.5
2023-03-01,22.364,91.7748,ST-CTG,28.23,32.75
2023-03-01,21.9521,89.1435,ST-SDB,28.7,32.1
2023-03-01,22.5425,90.7599,ST-MGE,28.71,33.81
2023-03-01,22.0313,90.2469,ST-KHP,28.67,33.28
2023-04-01,21.4551,91.9693,ST-COXB,28.25,33.03
2023-04-01,22.3927,91.7795,ST-CTG,28.16,33.28
2023-04-01,21.9263,89.1473,ST-SDB,28.22,32.83
2023-04-01,22.4733,90.7868,ST-MGE,28.15,32.65
2023-04-01,21.9712,90.2353,ST-KHP,28.11,33.9
2023-05-01,21.4688,92.0039,ST-COXB,27.4,33.07
2023-05-01,22.3918,91.7985,ST-CTG,27.68,33.07
2023-05-01,21.963,89.1621,ST-SDB,27.64,32.4
2023-05-01,22.5195,90.8361,ST-MGE,27.28,33.23
2023-05-01,21.9428,90.2393,ST-KHP,27.25,33.87
2023-06-01,21.3909,92.0517,ST-COXB,26.68,33.19
2023-06-01,22.3852,91.8127,ST-CTG,26.77,32.51
2023-06-01,21.9587,89.1428,ST-SDB,26.57,32.34
2023-06-01,22.5065,90.8072,ST-MGE,26.48,33.05
2023-06-01,22.0097,90.2466,ST-KHP,26.5,33.2
2023-07-01,21.4703,91.9678,ST-COXB,25.27,32.18
2023-07-01,22.3727,91.7751,ST-CTG,25.66,33.34
2023-07-01,21.9331,89.2231,ST-SDB,25.66,32.54
2023-07-01,22.4864,90.7814,ST-MGE,25.29,32.3
2023-07-01,22.0269,90.2105,ST-KHP,25.43,33.46
2023-08-01,21.4325,92.0494,ST-COXB,24.94,32.96
2023-08-01,22.3445,91.8319,ST-CTG,24.9,33.9
2023-08-01,21.9115,89.2184,ST-SDB,24.85,32.24
2023-08-01,22.5088,90.8186,ST-MGE,24.48,32.91
2023-08-01,22.0158,90.1962,ST-KHP,24.74,32.88
2023-09-01,21.4074,92.0476,ST-COXB,24.67,32.22
2023-09-01,22.4066,91.8211,ST-CTG,24.37,33.67
2023-09-01,21.9103,89.2332,ST-SDB,24.6,33.3
2023-09-01,22.459,90.8397,ST-MGE,24.22,32.48
2023-09-01,21.9476,90.2444,ST-KHP,24.32,33.82
2023-10-01,21.4428,91.9594,ST-COXB,24.47,32.1
2023-10-01,22.3675,91.8133,ST-CTG,24.61,33.7
2023-10-01,21.9054,89.2134,ST-SDB,25.02,33.54
2023-10-01,22.5198,90.8338,ST-MGE,24.49,32.4
2023-10-01,21.9458,90.2172,ST-KHP,24.92,33.26
2023-11-01,21.4623,91.9713,ST-COXB,25.64,32.39
2023-11-01,22.334,91.8042,ST-CTG,25.79,33.22
2023-11-01,21.9052,89.1949,ST-SDB,25.23,33.77
2023-11-01,22.521,90.7673,ST-MGE,25.26,32.37
2023-11-01,22.0313,90.2126,ST-KHP,25.67,33.27
2023-12-01,21.4344,91.9703,ST-COXB,26.77,32.6
2023-12-01,22.3647,91.8032,ST-CTG,26.59,33.88
2023-12-01,21.9145,89.1841,ST-SDB,26.44,32.95
2023-12-01,22.4619,90.7634,ST-MGE,26.37,32.61
2023-12-01,21.9761,90.2278,ST-KHP,26.58,32.82
2024-01-01,21.4181,91.9776,ST-COXB,27.55,32.63
2024-01-01,22.3105,91.775,ST-CTG,27.48,32.45
2024-01-01,21.9569,89.1899,ST-SDB,27.62,33.3
2024-01-01,22.5152,90.7816,ST-MGE,27.67,33.1
2024-01-01,21.9764,90.2293,ST-KHP,27.42,33.03
2024-02-01,21.4509,92.0444,ST-COXB,28.48,33.01
2024-02-01,22.3589,91.8132,ST-CTG,28.12,33.67
2024-02-01,21.9491,89.1449,ST-SDB,27.98,33.68
2024-02-01,22.4556,90.7781,ST-MGE,28.13,32.35
2024-02-01,21.9647,90.241,ST-KHP,27.94,33.65
2024-03-01,21.4629,91.993,ST-COXB,28.29,33.2
2024-03-01,22.3189,91.7697,ST-CTG,28.78,33.99
2024-03-01,21.9769,89.1644,ST-SDB,28.61,33.41
2024-03-01,22.4888,90.8141,ST-MGE,28.21,32.42
2024-03-01,21.9858,90.1831,ST-KHP,28.3,33.67
2024-04-01,21.4761,92.0114,ST-COXB,28.44,33.98
2024-04-01,22.3211,91.778,ST-CTG,28.17,32.16
2024-04-01,21.9752,89.1767,ST-SDB,28.21,32.3
2024-04-01,22.4681,90.8407,ST-MGE,27.96,32.47
2024-04-01,21.9625,90.2157,ST-KHP,28.28,32.99
2024-05-01,21.3856,91.9802,ST-COXB,27.71,33.28
2024-05-01,22.3718,91.8002,ST-CTG,27.66,32.12
2024-05-01,21.9364,89.1873,ST-SDB,27.4,33.69
2024-05-01,22.4983,90.8269,ST-MGE,27.71,33.01
2024-05-01,22.0243,90.2254,ST-KHP,27.71,32.68
2024-06-01,21.4271,92.0089,ST-COXB,26.26,32.8
2024-06-01,22.3986,91.7963,ST-CTG,26.31,32.68
2024-06-01,21.9189,89.1358,ST-SDB,26.76,32.9
2024-06-01,22.4808,90.8098,ST-MGE,26.2,32.56
2024-06-01,22.0036,90.2301,ST-KHP,26.79,33.24
2024-07-01,21.425,92.0319,ST-COXB,25.74,33.44
2024-07-01,22.4032,91.8114,ST-CTG,25.72,32.23
2024-07-01,21.9729,89.1773,ST-SDB,25.53,33.31
2024-07-01,22.547,90.8485,ST-MGE,25.37,33.47
2024-07-01,22.0083,90.2013,ST-KHP,25.27,32.08
2024-08-01,21.4549,92.0048,ST-COXB,25.06,32.93
2024-08-01,22.4047,91.7744,ST-CTG,24.94,32.17
2024-08-01,21.9552,89.2135,ST-SDB,25.02,33.65
2024-08-01,22.4537,90.7873,ST-MGE,24.5,32.22
2024-08-01,22.0008,90.238,ST-KHP,24.93,33.73
2024-09-01,21.4511,92.0359,ST-COXB,24.23,32.47
2024-09-01,22.3691,91.819,ST-CTG,24.2,33.03
2024-09-01,21.9674,89.1363,ST-SDB,24.44,33.79
2024-09-01,22.5172,90.7738,ST-MGE,24.71,32.7
2024-09-01,22.0186,90.1966,ST-KHP,24.55,32.79
2024-10-01,21.4047,92.0445,ST-COXB,24.58,32.17
2024-10-01,22.3411,91.805,ST-CTG,24.95,34.0
2024-10-01,21.9293,89.1741,ST-SDB,24.55,33.15
2024-10-01,22.5498,90.8201,ST-MGE,24.83,32.78
2024-10-01,22.0248,90.2164,ST-KHP,24.55,32.73
2024-11-01,21.3839,91.976,ST-COXB,25.21,32.91
2024-11-01,22.3704,91.7675,ST-CTG,25.45,33.92
2024-11-01,21.9749,89.1874,ST-SDB,25.37,33.79
2024-11-01,22.4735,90.7825,ST-MGE,25.75,33.06
2024-11-01,22.0075,90.2258,ST-KHP,25.59,32.6
2024-12-01,21.4013,91.988,ST-COXB,26.29,33.75
2024-12-01,22.3352,91.7893,ST-CTG,26.68,33.57
2024-12-01,21.9435,89.1809,ST-SDB,26.8,33.35
2024-12-01,22.5315,90.8403,ST-MGE,26.67,32.37
2024-12-01,21.9895,90.1769,ST-KHP,26.59,33.91
